Y,X,Treecover1985,Treecover1990,Treecover1995,Treecover2000,Treecover2005,Treecover2010,Treecover2015,Treecover2020
-7.1026906,-49.9438302,0.21867,0.21983,0.27623,0.2516,0.25306,0.27623,0.23727,0.24761
-6.8844735,-38.5563187,0.10315,0.11281,0.15239,0.11126,0.12107,0.13341,0.10977,0.12632
-7.236434,-35.8974664,0.10122,0.10192,0.10494,0.12721,0.13007,0.11642,0.10912,0.13098
-6.8531812,-35.4922329,0.10601,0.10991,0.08705,0.13288,0.13038,0.15532,0.13057,0.14543
-7.1128313,-34.8796745,0.10677,0.10533,0.12276,0.12545,0.12022,0.12115,0.13126,0.17389
-7.0320497,-37.2862311,0.10938,0.13522,0.1064,0.11043,0.11151,0.12399,0.1328,0.12177
-6.7664137,-38.2346334,0.07716,0.12151,0.08125,0.1235,0.09382,0.09933,0.08379,0.09253
-7.5738334,-40.4984204,0.11764,0.09025,0.08836,0.12492,0.11528,0.13921,0.13608,0.12537
-8.4199975,-37.060314,0.08984,0.13459,0.11162,0.12455,0.12683,0.18254,0.12077,0.12451
-8.2641182,-35.0099127,0.12742,0.13578,0.15313,0.17182,0.16423,0.18166,0.16859,0.20454
-7.8441003,-35.2493495,0.13001,0.14221,0.10858,0.13328,0.12795,0.14514,0.15355,0.18316
-8.2815231,-35.969988,0.08968,0.10537,0.10948,0.12127,0.13705,0.13918,0.14045,0.15294
-8.2029243,-35.5687268,0.09373,0.1361,0.17093,0.166,0.16737,0.19175,0.21769,0.25396
-7.8456506,-34.9130662,0.11595,0.1185,0.11667,0.12381,0.12766,0.14388,0.13764,0.15575
-7.7646455,-34.8361485,0.14735,0.15156,0.17283,0.18831,0.18,0.16584,0.2012,0.20066
-7.8793634,-35.4464711,0.09589,0.1042,0.09387,0.09729,0.10339,0.13225,0.09375,0.10978
-7.7615254,-40.2682708,0.13265,0.14925,0.13015,0.1438,0.17975,0.1775,0.17531,0.1487
-7.63941,-34.8217504,0.14909,0.16033,0.18731,0.19729,0.18056,0.18863,0.1736,0.22983
-8.0370481,-34.9337695,0.13057,0.14372,0.14641,0.16207,0.1733,0.1993,0.20127,0.23887
-8.0669743,-39.1302149,0.09898,0.08825,0.13092,0.12193,0.15483,0.16239,0.15237,0.13472
-7.9532158,-36.2038605,0.06507,0.05865,0.05607,0.04639,0.06724,0.06541,0.04727,0.06099
